priority,product_id,brand,product_name,creator,source_video,marketplace_target,affiliate_url,status,notes
1,babe-stop-akn-purifying-cleansing-gel,Laboratorios BABÉ,Stop AKN Purifying Cleansing Gel,Góc Của Rư,https://www.tiktok.com/@goc.cua.ru/video/7648484506923437319,Shopee/Lazada/TikTok Shop,,needs_affiliate_link,Exact SKU verified
2,biore-uv-aqua-rich-mild-essence,Bioré,UV Aqua Rich Mild Essence SPF50+ PA++++,Góc Của Rư,https://www.tiktok.com/@goc.cua.ru/video/7655538284537449736,Shopee/Lazada/TikTok Shop,,needs_affiliate_link,Use Mild Essence exact variant
3,olay-super-spf50-fluid-moisturiser,Olay,Super SPF50+ Fluid Moisturiser PA++++,Góc Của Rư,https://www.tiktok.com/@goc.cua.ru/video/7656646581063585032,Shopee/Lazada/TikTok Shop,,needs_affiliate_link,Exact SKU verified
4,dr-g-red-blemish-clear-soothing-cream,Dr.G,R.E.D Blemish Clear Soothing Cream,Góc Của Rư,https://www.tiktok.com/@goc.cua.ru/video/7661108096734924050,Shopee/Lazada/TikTok Shop,,needs_affiliate_link,Exact SKU verified
5,ahc-pro-shot-pore-eraser-serum,AHC,Pro Shot Pore Eraser Serum,Góc Của Rư,https://www.tiktok.com/@goc.cua.ru/video/7661483735350594823,Shopee/Lazada/TikTok Shop,,needs_affiliate_link,Exact SKU verified
6,simple-mattifying-uv-fluid-spf50,Simple,Mattifying UV Fluid SPF50 PA++++,Góc Của Rư,https://www.tiktok.com/@goc.cua.ru/video/7661858969455037714,Shopee/Lazada/TikTok Shop,,needs_affiliate_link,Do not substitute another Simple sunscreen
7,lagom-brightening-tone-up-sun,LAGOM,Brightening Tone Up Sun SPF50+ PA++++,Kim Chung Phan,https://www.tiktok.com/@kimchungphan20/video/7658282321178627349,Shopee/Lazada/TikTok Shop,,needs_affiliate_link,Exact SKU verified
8,loreal-revitalift-melasyl-dark-spot-creamy-serum,L'Oréal Paris,Revitalift Melasyl Dark Spot Creamy-Serum,Kim Chung Phan,https://www.tiktok.com/@kimchungphan20/video/7660480288514116884,Shopee/Lazada/TikTok Shop,,needs_affiliate_link,Use pink creamy-serum variant
9,beplain-sunmuse-tone-up-correcting-sunscreen,beplain,Sunmuse Tone Up & Correcting Sunscreen SPF50+ PA++++,Kim Chung Phan,https://www.tiktok.com/@kimchungphan20/video/7661961242923273493,Shopee/Lazada/TikTok Shop,,needs_affiliate_link,Confirm exact color variant before activation
10,skinoxy-pro-b3-aha-concentrate-body-serum,SKINOXY,Pro B3 AHA Concentrate Body Serum,Call Me Duy,https://www.tiktok.com/@justvuduy16/video/7658858840687037717,Shopee/Lazada/TikTok Shop,,needs_affiliate_link,Use pink 10% B3 2% lactic acid variant
11,ekseption-hyaluronic-znpca-mixlab-serum,Ekseption,Hyaluronic ZnPCA Mixlab Serum,Call Me Duy,https://www.tiktok.com/@justvuduy16/video/7660125075487657237,Shopee/Lazada/TikTok Shop,,needs_affiliate_link,Exact SKU verified
12,koai-dry-shampoo-spray,KOAI,Dry Shampoo Spray 150ml,Call Me Duy,https://www.tiktok.com/@justvuduy16/video/7663091389370060053,TikTok Shop/Shopee,,needs_affiliate_link,Confirm scent if merchant separates variants
