product_id,brand,product_name,category,independent_creators,verified_clips,direct_use_clips,commercial_share_pct,latest_evidence_at,affiliate_url,offer_status
olay-super-spf50-fluid-moisturiser,Olay,Super SPF50+ Fluid Moisturiser PA++++,Skincare,3,3,0,33,2026-06-29,,pending
cocoon-hau-giang-lotus-mineral-sunscreen-50ml,Cocoon,Sữa chống nắng vô cơ Sen Hậu Giang 50ml - Tone-up Beige,Skincare,3,3,1,33,2026-07-17,,pending
dr-g-red-blemish-clear-soothing-cream,Dr.G,R.E.D Blemish Clear Soothing Cream,Skincare,2,2,1,50,2026-07-11,,pending
ahc-pro-shot-pore-eraser-serum,AHC,Pro Shot Pore Eraser Serum,Skincare,2,2,0,100,2026-07-21,,pending
loreal-revitalift-melasyl-dark-spot-creamy-serum,L'Oréal Paris,Revitalift Melasyl Dark Spot Creamy-Serum,Skincare,2,2,2,50,2026-07-09,,pending
loreal-revitalift-triple-power-tri-peptides-age-defying-serum,L’Oréal Paris,RevitaLift Triple Power Tri-Peptides Age-Defying Serum,Skincare,2,2,2,0,2026-03-15,,pending
cocoon-winter-melon-micellar-water-1000ml,Cocoon,Nước tẩy trang bí đao 1000ml,Skincare,2,2,1,0,2026-05-26,,pending
dr-althea-345-relief-cream-50ml,Dr.Althea,345 Relief Cream 50ml,Skincare,2,2,1,100,2025-12-06,,pending
babe-stop-akn-purifying-cleansing-gel,Laboratorios BABÉ,Stop AKN Purifying Cleansing Gel,Skincare,1,1,0,100,2026-06-07,,pending
biore-uv-aqua-rich-mild-essence,Bioré,UV Aqua Rich Mild Essence SPF50+ PA++++,Skincare,1,1,0,100,2026-06-26,,pending
simple-mattifying-uv-fluid-spf50,Simple,Mattifying UV Fluid SPF50 PA++++,Skincare,1,1,0,100,2026-07-13,,pending
lagom-brightening-tone-up-sun,LAGOM,Brightening Tone Up Sun SPF50+ PA++++,Skincare,1,1,1,0,2026-07-03,,pending
beplain-sunmuse-tone-up-correcting-sunscreen,beplain,Sunmuse Tone Up & Correcting Sunscreen SPF50+ PA++++,Skincare,1,1,0,100,2026-07-13,,pending
skinoxy-pro-b3-aha-concentrate-body-serum,SKINOXY,Pro B3 AHA Concentrate Body Serum,Bodycare,1,1,0,100,2026-07-05,,pending
ekseption-hyaluronic-znpca-mixlab-serum,Ekseption,Hyaluronic ZnPCA Mixlab Serum,Skincare,1,1,1,100,2026-07-08,,pending
koai-dry-shampoo-spray,KOAI,Dry Shampoo Spray 150ml,Haircare,1,1,1,100,2026-07-16,,pending
biore-uv-aqua-rich-airy-hold-cream,Bioré,UV Aqua Rich Airy Hold Cream SPF50+ PA++++,Skincare,1,1,0,100,2026-06-11,,pending
geek-gorgeous-c-glow,Geek & Gorgeous,C-Glow 15% Vitamin C Serum,Skincare,1,1,1,100,2026-07-20,,pending
geek-gorgeous-power-peptides,Geek & Gorgeous,Power Peptides Pro-Collagen Multi-Peptide Serum,Skincare,1,1,1,100,2026-07-20,,pending
celimax-vita-a-retinal-shot-tightening-booster,Celimax,The Vita-A Retinal Shot Tightening Booster 15ml,Skincare,1,1,0,0,2026-07-20,,pending
ahc-masters-tone-up-sun-serum,AHC,Masters Tone-Up Sun Serum SPF50+ PA++++ 50ml,Skincare,1,1,0,0,2026-06-03,,pending
martiderm-dsp-intense-booster,MartiDerm,DSP-Intense Booster 30ml,Skincare,1,1,0,0,2026-06-06,,pending
benzac-ac-mild-strength-2-5-acne-gel,Benzac,Benzac AC Mild Strength 2.5% Acne Gel,Skincare,1,1,0,0,2026-06-27,,pending
benzac-ac-moderate-strength-5-acne-gel,Benzac,Benzac AC Moderate Strength 5% Acne Gel,Skincare,1,1,0,0,2026-06-27,,pending
allies-of-skin-multi-peptides-gf-advanced-lifting-serum,Allies of Skin,Multi Peptides & GF Advanced Lifting Serum,Skincare,1,1,1,0,2026-07-20,,pending
biotrade-keratolin-hydro-body-lotion-8-urea,Biotrade,Keratolin Hydro Body Lotion 8% Urea,Bodycare,1,1,0,0,2026-05-30,,pending
simple-repair-plus-replenishing-cream-cleanser,Simple,Repair+ Replenishing Cream Cleanser,Skincare,1,1,1,100,2026-03-24,,pending
simple-repair-plus-rich-face-cream,Simple,Repair+ Pro-Ceramides + Cica Rich Face Cream,Skincare,1,1,1,100,2026-03-24,,pending
geek-gorgeous-stress-less,Geek & Gorgeous,Stress Less 0.2% Beta-Glucan + 0.3% Madecassoside Serum,Skincare,1,1,0,100,2026-05-22,,pending
cocoon-hau-giang-lotus-cleanser-310ml,Cocoon,Sữa rửa mặt sen Hậu Giang 310ml,Skincare,1,1,0,0,2025-09-25,,pending
revision-skincare-youthfull-lip-replenisher,Revision Skincare,YouthFull Lip Replenisher,Makeup,1,1,0,0,2026-06-11,,pending
revision-skincare-dej-night-face-cream,Revision Skincare,D.E.J Night Face Cream,Skincare,1,1,1,0,2026-07-01,,pending
kate-lip-monster-super-glossy-g04,KATE Tokyo,Lip Monster Super Glossy G04,Makeup,1,1,1,0,2026-06-20,,pending
paulas-choice-skin-perfecting-2-bha-liquid-exfoliant-118ml,Paula’s Choice,Skin Perfecting 2% BHA Liquid Exfoliant 118ml,Skincare,1,1,1,0,2025-04-10,,pending
1,GoodnDoc,Tinh chất phục hồi da B5 GoodnDoc,Skincare,0,0,0,0,,,pending
2,Maybelline,Kem nền Maybelline Fit Me Matte + Poreless,Makeup,0,0,0,0,,,pending
3,L'Oreal,Nước tẩy trang L'Oreal Micellar Water 3-in-1,Skincare,0,0,0,0,,,pending
4,MAC,Son kem lì MAC Powder Kiss Liquid Lipcolour,Makeup,0,0,0,0,,,pending
5,Batiste,Dầu gội khô Batiste Dry Shampoo,Haircare,0,0,0,0,,,pending
6,Cerave,Sữa rửa mặt Cerave Hydrating Cleanser,Skincare,0,0,0,0,,,pending
7,Narciso Rodriguez,Nước hoa nữ Narciso Rodriguez For Her EDP,Perfume,0,0,0,0,,,pending
8,Vaseline,Sữa dưỡng thể Vaseline Gluta-Hya,Bodycare,0,0,0,0,,,pending
